품목코드,품목명,상품명,재고수량,안전재고
"P0000BJB000B","핵이득 애주가 술국 1250g","술도둑 끝판왕! 핵이득 애주가 술국 1250g","1010","50"
"P0000BJB000C","토속피순대 500g","술도둑 끝판왕! 핵이득 애주가 술국 1250g","73","0"
"P0000BJB000D","오뚜기 밥 200g *3개입","술도둑 끝판왕! 핵이득 애주가 술국 1250g","4","5"
"P0000BJB000E","다진마늘 15g + 다진청양 15g","술도둑 끝판왕! 핵이득 애주가 술국 1250g","115","35"
"P0000BIU000A","","[2천개 추가입고!]바삭함 끝판왕! 새우 에비카츠 [330g]","0","0"
"P0000BIT000A","","[한정판매]국물 끝판왕! 왕 복주머니 유부우동 밀키트 [2인분]","0","0"
"P0000BHV000B","삼겹살","[프로모션 진행중!] 100시간 저온숙성 드라이에이징 삼겹살 300g","-1","2"
"P0000BHU000B","목살","100시간 저온숙성 드라이에이징 목살 300g","0","0"
"P0000BFY000B","제주돼지 간짜장 덮밥소스","간편한 덮밥소스 7종 골라담기","0","14"
"P0000BFY000C","제주돼지 김치볶음 덮밥소스","간편한 덮밥소스 7종 골라담기","98","8"
"P0000BFY000D","제주돼지 제육볶음 덮밥소스","간편한 덮밥소스 7종 골라담기","0","10"
"P0000BFY000E","춘천닭갈비 덮밥소스","간편한 덮밥소스 7종 골라담기","0","20"
"P0000BFY000F","안동식찜닭 덮밥소스","간편한 덮밥소스 7종 골라담기","0","22"
"P0000BFY000G","마파두부 덮밥소스","간편한 덮밥소스 7종 골라담기","0","10"
"P0000BFY000H","부대볶음 덮밥소스","간편한 덮밥소스 7종 골라담기","15","12"
"P0000BFY000I","오뚜기 밥 200g *3개입","간편한 덮밥소스 7종 골라담기","15","8"
"P0000BEX000A","","집에서도 즐기는 8가지 닭모듬 꼬치350g","1","0"
"P0000BEW000A","","집에서도 즐기는 8가지 삼겹모듬꼬치332g","1","0"
"P0000BDI000B","시카고리얼치즈피자","시카고리얼피자 4종 골라담기","0","10"
"P0000BDI000C","시카고리얼페페로니피자","시카고리얼피자 4종 골라담기","-1","10"
"P0000BDI000D","시카고리얼불고기피자","시카고리얼피자 4종 골라담기","96","10"
"P0000BDI000E","시카고리얼쉬림프피자","시카고리얼피자 4종 골라담기","41","10"
"P0000BDH000C","","언제 먹어도 맛있는 핵이득 대패삼겹 200g","119","33"
"P0000BCX000A","","어디에든 어울리는 사누끼 우동 230G","1000","200"
"P0000BBJ000A","","바삭한 와사비 리얼 새우 머리 과자 (3봉세트)","0","0"
"P0000BBB000M","야채 반줄김밥","[특가!] 속이 꽉찬 맛있는 참치 반줄김밥","1","0"
"P0000BBB000N","참치 반줄김밥","[특가!] 속이 꽉찬 맛있는 참치 반줄김밥","31","0"
"P0000BBB000O","제육 반줄김밥","[특가!] 속이 꽉찬 맛있는 참치 반줄김밥","0","0"
"P0000BBB000P","참치 김밥 세트! (참치 반줄김밥  x 2)","[특가!] 속이 꽉찬 맛있는 참치 반줄김밥","9","0"
"P0000BBB000Q","참치 김밥 세트! (참치 반줄김밥  x 4)","[특가!] 속이 꽉찬 맛있는 참치 반줄김밥","0","0"
"P0000BBA000A","","[갓성비굳] 식다락 마라쌀국수 2인분","0","0"
"P0000BAX000E","에어프라이기 탕수육 350g + 새콤달콤 소스 포함","[프로모션 진행중!] 에어프라이기 탕수육 350g + 새콤달콤 소스 포함","0","2"
"P0000BAX000F","맛깔소스 90g","[프로모션 진행중!] 에어프라이기 탕수육 350g + 새콤달콤 소스 포함","38","10"
"P0000BAW000B","진한맛이 일품인 붉은대게장 80g","밥에 비벼먹는 밥도둑 대게딱지장 80g","0","0"
"P0000BAW000C","부드러운맛이 일품인 붉은대게딱지장 80g","밥에 비벼먹는 밥도둑 대게딱지장 80g","0","0"
"P00000XS000A","","[핵특가] 프리바이오틱스 + 헬리코박터 기획세트","1","0"
"P00000XL000G","세상에 없는 핵이득 족발 물쫄면 900g (2인분)","세상에 없는 핵이득 족발 물쫄면 900g (2인분)","4890","50"
"P00000XF000A","","[특가] 언제먹어도 꿀맛인 바로먹는 꽁치캔 x 5","11","0"
"P00000XE000A","","[단독특가] 푸드얌 양념막창 180g 에어프라이어용","-15","30"
"P00000XD000A","","[간편반찬] 언제먹어도 꿀맛인 바로먹는 꽁치 140g","0","27"
"P00000XC000A","","팬에 볶아먹는 로제무뼈닭발 180g","8","19"
"P00000XB000A","","[단독특가] 푸드얌 훈제막창 160g 에어프라이어용","3","22"
"P00000WZ000B","고기포자만두 180g","[골라담기] 전자레인지용 사조오양 포자 만두 6종","377","22"
"P00000WZ000C","김치포자만두 180g","[골라담기] 전자레인지용 사조오양 포자 만두 6종","323","23"
"P00000WZ000D","브로콜리포자만두 180g","[골라담기] 전자레인지용 사조오양 포자 만두 6종","153","9"
"P00000WZ000E","육즙가득고기만두 180g","[골라담기] 전자레인지용 사조오양 포자 만두 6종","332","23"
"P00000WZ000F","한입밥만두 김치볶음맛 180g","[골라담기] 전자레인지용 사조오양 포자 만두 6종","296","11"
"P00000WZ000G","갈비만두 180g","[골라담기] 전자레인지용 사조오양 포자 만두 6종","219","17"
"P00000VL000A","","[갓성비굳] 앗! 즉석밥 보다 싸다 끼니엔 잠발라야 볶음밥 210g","1","0"
"P00000VJ000A","","[팜엔탑] 위 건강엔 헬리코박터 컨트롤 30정 (1개월분)","2","1"
"P00000VI000A","","[팜엔탑] 장에 좋은 프리바이오틱스 5g × 30포 (1개월분)","0","0"
"P00000VC000E","국내산 밥도둑 떡갈비 3팩 (12장)","[초특가]국내산 밥도둑 떡갈비 3팩 (12장)","0","0"
"P00000VC000F","맛깔소스 90g","[초특가]국내산 밥도둑 떡갈비 3팩 (12장)","77","0"
"P00000VB000A","","[갓성비굳] 식다락 마라쌀국수 2인분","0","0"
"P00000UZ000A","","[멸망전 1위] 녹진한 크리스피 모짜&크림치즈볼","0","0"
"P00000UY000B","요즘 난리난 압구정 볼카츠","[역대최저가!] 요즘 난리난 압구정 볼카츠","0","0"
"P00000UY000C","맛깔소스 90g","[역대최저가!] 요즘 난리난 압구정 볼카츠","0","0"
"P00000UX000A","","[간편조리] 제대로된 오뎅탕 KIT (2인분)","34","6"
"P00000UW000A","","[간편조리] 뼈속까지 시원한 싱싱 바지락탕 KIT (2인분)","0","0"
"P00000UV000A","","[참PICK] 블라인드테스트 1위 냉메밀소바 (2인분)","0","0"
"P00000UU000A","","[참PICK] 넘사벽의 맛 새콤 비빔메밀소바 (2인분)","4","0"
"P00000UT000A","","[참PICK]고소함 끝판왕 통들깨 들기름소바 (2인분)","2","0"
"P00000UR000B","김소봉 쉐프의 순살치킨 250g x 5","바삭한 순살치킨 250g X 5봉 에어프라이어용","1","0"
"P00000UQ000B","후라이드 치킨 330g x 5","바삭한 후라이드 치킨 330g x 5봉 에어프라이어용","0","0"
"P00000SQ000D","전문점 갈 필요없이 맛있는! 핵이득 화끈 쭈꾸미 매운맛 500g","전문점 갈 필요없는! 양념 쭈꾸미 볶음 핵이득 화끈쭈꾸미 500g [매운맛/보통맛]","2057","50"
"P00000SQ000E","오뚜기 밥 200g *3개입","전문점 갈 필요없는! 양념 쭈꾸미 볶음 핵이득 화끈쭈꾸미 500g [매운맛/보통맛]","8","10"
"P00000SQ000F","어디에든 어울리는 사누끼 우동 230G","전문점 갈 필요없는! 양념 쭈꾸미 볶음 핵이득 화끈쭈꾸미 500g [매운맛/보통맛]","207","20"
"P00000SQ000H","전문점 갈 필요없이 맛있는! 핵이득 화끈 쭈꾸미 보통맛 500g","전문점 갈 필요없는! 양념 쭈꾸미 볶음 핵이득 화끈쭈꾸미 500g [매운맛/보통맛]","1065","50"
"P00000SQ000I","토속피순대 500g","전문점 갈 필요없는! 양념 쭈꾸미 볶음 핵이득 화끈쭈꾸미 500g [매운맛/보통맛]","155","0"
"P00000SP000A","","[갓성비굳] 앗! 즉석밥 보다 싸다 끼니엔 낙지볶음밥 210g","4","0"
"P00000SK000E","소머리수육 1kg 1EA + 100% 한우사골곰탕 500g 1EA","[숨은맛집] 몸보신으로 제격인 한우소머리수육 2종 (소스별도구매)","0","0"
"P00000SK000F","소머리수육 500g 1EA + 100% 한우사골곰탕 500g 1EA","[숨은맛집] 몸보신으로 제격인 한우소머리수육 2종 (소스별도구매)","0","0"
"P00000SK000G","100% 한우사골곰탕 500g","[숨은맛집] 몸보신으로 제격인 한우소머리수육 2종 (소스별도구매)","0","0"
"P00000SK000H","참소스 20g","[숨은맛집] 몸보신으로 제격인 한우소머리수육 2종 (소스별도구매)","0","0"
"P00000SJ000A","마라탕 순한맛_1ea","[인기상품] 중독성MAX 마라탕 1135g X 1팩 순한맛/매운맛","0","0"
"P00000SJ000B","마라탕 진한맛_1ea","[인기상품] 중독성MAX 마라탕 1135g X 1팩 순한맛/매운맛","0","0"
"P00000SI000A","얇은빵 멘보샤(6개입) - 소스 미포함","[인기상품] 갓바속촉 프로즌 멘보샤 6개입","0","0"
"P00000SI000C","스위트칠리 소스 30g","[인기상품] 갓바속촉 프로즌 멘보샤 6개입","0","0"
"P00000SF000A","","[유통기한임박] 한우양곰탕 700g","-14","0"
"P00000RY000A","","[간편조리] 크리스피 통통치킨너겟 1KG","0","0"
"P00000RT000I","순한맛(350g)","핵이득 참숯 양념치킨 순한맛/매운맛 2종","32","34"
"P00000RT000J","매운맛(350g)","핵이득 참숯 양념치킨 순한맛/매운맛 2종","18","35"
"P00000RT000K","오뚜기 밥 200g *3개입","핵이득 참숯 양념치킨 순한맛/매운맛 2종","7","3"
"P00000RT000L","어디에든 어울리는 사누끼 우동 230G","핵이득 참숯 양념치킨 순한맛/매운맛 2종","214","20"
"P00000RT000M","순한맛(500g)","핵이득 참숯 양념치킨 순한맛/매운맛 2종","317","50"
"P00000RT000N","매운맛(500g)","핵이득 참숯 양념치킨 순한맛/매운맛 2종","253","50"
"P00000RR000A","","[간편안주] 불닭 먹태 60g","1","0"
"P00000RQ000A","","[간편안주] 콩물먹태 40g+와사비마요 소스 15g 포함","734","40"
"P00000RP000B","햄야채볶음밥","[갓성비굳] 앗! 즉석밥 보다 싸다 끼니엔 볶음밥 210g","21","0"
"P00000RP000F","전주식비빔밥","[갓성비굳] 앗! 즉석밥 보다 싸다 끼니엔 볶음밥 210g","0","0"
"P00000RP000H","고추잡채볶음밥","[갓성비굳] 앗! 즉석밥 보다 싸다 끼니엔 볶음밥 210g","0","0"
"P00000RP000J","곤드레보리밥","[갓성비굳] 앗! 즉석밥 보다 싸다 끼니엔 볶음밥 210g","25","40"
"P00000RP000L","잠발라야볶음밥","[갓성비굳] 앗! 즉석밥 보다 싸다 끼니엔 볶음밥 210g","7","0"
"P00000PW000A","","[유통기한임박] 흑임자 탕수육 200g","0","15"
"P00000PV000A","","[유통기한임박] 치떡치떡 강정 200g","58","0"
"P00000PS000A","","[간편조리] 1kg 대용량 닭똥집튀김","255","10"
"P00000PQ000B","소머리국밥 600g","[MD추천]우리집 건강 보양식 소머리국밥_ 600g","609","27"
"P00000PQ000C","다진마늘 15g + 다진청양 15g","[MD추천]우리집 건강 보양식 소머리국밥_ 600g","0","5"
"P00000PP000A","","[간편조리] 겉바속촉 에어프라이기 10분 조리 버팔로봉 1KG","635","10"
"P00000PO000A","","[간편조리] 겉바속촉 에어프라이기 간편하게!  버팔로윙 1KG","566","10"
"P00000PN000A","","[간편조리] 겉바속촉 에어프라이기 간편하게!  크리스피 순살치킨 1KG","0","0"
"P00000PM000B","장터 얼큰 소고기국밥 650g","[MD추천] 얼큰한 국물에 우거지가 들어간 소고기국밥 650g","4","0"
"P00000PK000A","쭈꾸미볶음 1팩(500g)","[갓성비굳] 넉넉한 양  , 매콤한 쭈꾸미볶음 500g","0","0"
"P00000PJ000L","뼈해장국 900g","[갓성비굳] 깊고 진한 국물에 푸짐한 뼈해장국 900g","1901","37"
"P00000PJ000M","다진마늘 15g + 다진청양 15g","[갓성비굳] 깊고 진한 국물에 푸짐한 뼈해장국 900g","0","0"
"P00000PI000D","내장탕 630g","[갓성비굳] 멈출 수 없는 푸짐한 내장탕 630g 이상","1575","50"
"P00000PI000E","오뚜기 밥 200g *3개입","[갓성비굳] 멈출 수 없는 푸짐한 내장탕 630g 이상","8","5"
"P00000PI000F","다진마늘 15g + 다진청양 15g","[갓성비굳] 멈출 수 없는 푸짐한 내장탕 630g 이상","0","5"
"P00000PG000A","","[단독특가] 푸드얌 양념막창 180g 에어프라이어용","1050","30"
"P00000OV000A","","[유통기한임박] 한우시래기 해장국 700g","4","0"
